Energy_eV,Cd,Cl,Te
-8.145000000000017,39.74427352213168,100.21002775564487,148.67335521367457
-8.13500000000002,39.859852056056134,98.4102965973253,148.02436848203163
-8.125000000000018,40.02268021765309,96.70409095879788,147.54606240028863
-8.11500000000002,40.239886321537305,95.08793192881092,147.27017982614538
-8.105000000000018,40.52951127172709,93.57427281790484,147.2646766568734
-8.09500000000002,40.921965146543066,92.19459342004177,147.63866548544698
-8.085000000000019,41.46084518577177,91.00145734725075,148.5452319368436
-8.07500000000002,42.20297321424187,90.06927842813073,150.18163356943546
-8.065000000000019,43.21754055509416,89.49359506639973,152.7864893068928
-8.055000000000021,44.58429368581305,89.38873148513758,156.63371788054508
-8.04500000000002,46.39075240243264,89.8838268764124,162.02318029090793
-8.035000000000021,48.72852012519232,91.11732905077577,169.26821050099392
